Prey,Predator,edgetype
Diatoms_benthic,Abyssianira_argentenensis,0
Diatoms_centric,Abyssianira_argentenensis,0
Diatoms_pennate,Abyssianira_argentenensis,0
Diatoms_benthic,Abyssianira_dentifrons,0
Diatoms_centric,Abyssianira_dentifrons,0
Diatoms_pennate,Abyssianira_dentifrons,0
Diatoms_benthic,Abyssianira_spp,0
Diatoms_centric,Abyssianira_spp,0
Diatoms_pennate,Abyssianira_spp,0
Detritus,Acanthoserolis_schythei,0
Laetmonice_producta,Acanthoserolis_schythei,0
Pelagobia_longicirrata,Acanthoserolis_schythei,0
Polyeunoa_laevis,Acanthoserolis_schythei,0
Themisto_gaudichaudii,Acanthoserolis_schythei,0
Necromass,Acodontaster_elongatus,0
Necromass,Acodontaster_sp,0
Foraminifera,Actinauge_longicornis,0
Polycheria_spp,Actinostola_crassicornis,0
Eatoniella_spp,Actinostola_crassicornis,0
Liotella_crassicostata,Actinostola_crassicornis,0
Odostomia_sp,Actinostola_crassicornis,0
Onoba_spp,Actinostola_crassicornis,0
Scissurella_clathrata,Actinostola_crassicornis,0
Zygochlamys_patagonica,Adelomelon_ancilla,0
Fusitriton_magellanicus,Adelomelon_ancilla,0
Eurhomalea_sp,Adelomelon_ancilla,0
Detritus,Advenogonium_fuegiae,0
Foraminifera,Aglaophamus_virginis,0
Lumbrineridae,Aglaophamus_virginis,0
Orbiniidae,Aglaophamus_virginis,0
Eteone_spp,Aglaophamus_virginis,0
Syllidae,Aglaophamus_virginis,0
Diatoms_benthic,Alcyonium_antarcticum,0
Diatoms_centric,Alcyonium_antarcticum,0
Diatoms_pennate,Alcyonium_antarcticum,0
Detritus,Allorostrata_ovalis,0
Detritus,Allorostrata_scutifrons,0
Tryphosella_sp,Amblyraja_doellojuradoi,0
Libidoclaea_granaria,Amblyraja_doellojuradoi,0
Eurypodius_latreillii,Amblyraja_doellojuradoi,0
Grimothea_gregaria,Amblyraja_doellojuradoi,0
Sympagurus_dimorphus,Amblyraja_doellojuradoi,0
Campylonotus_vagans,Amblyraja_doellojuradoi,0
Patagonotothen_ramsayi,Amblyraja_doellojuradoi,0
Acanthoserolis_schythei,Amblyraja_doellojuradoi,0
Natatolana_pastorei,Amblyraja_doellojuradoi,0
Macrochiridothea_stebbingi,Amblyraja_doellojuradoi,0
Onuphis_pseudoiridescens,Amblyraja_doellojuradoi,0
Pista_spp,Amblyraja_doellojuradoi,0
Terebellides_malvinensis,Amblyraja_doellojuradoi,0
Nicolea_chilensis,Amblyraja_doellojuradoi,0
Thelepus_sp,Amblyraja_doellojuradoi,0
Eteone_spp,Amblyraja_doellojuradoi,0
Glycera_spp,Amblyraja_doellojuradoi,0
Eunereis_patagonica,Amblyraja_doellojuradoi,0
Nicon_maculata,Amblyraja_doellojuradoi,0
Serpula_spp,Amblyraja_doellojuradoi,0
Aglaophamus_virginis,Amblyraja_doellojuradoi,0
Nephtys_sp,Amblyraja_doellojuradoi,0
Lumbrineridae,Amblyraja_doellojuradoi,0
Orbiniidae,Amblyraja_doellojuradoi,0
Maldanidae,Amblyraja_doellojuradoi,0
Metepimeria_acanthurus,Amblyraja_georgiana,0
Themisto_gaudichaudii,Amblyraja_georgiana,0
Doryteuthis_gahi,Amblyraja_georgiana,0
Austrocidaris_canaliculata,Amblyraja_georgiana,0
Austrocidaris_spinulosida,Amblyraja_georgiana,0
Lepidonotothen_squamifrons,Amblyraja_georgiana,0
Muraenolepis_spp,Amblyraja_georgiana,0
Patagonotothen_guntheri,Amblyraja_georgiana,0
Trophon_ohlini,Amblyraja_georgiana,0
Trophon_plicatus,Amblyraja_georgiana,0
Acanthoserolis_schythei,Amblyraja_georgiana,0
Natatolana_pastorei,Amblyraja_georgiana,0
Neoserolis_exigua,Amblyraja_georgiana,0
Aglaophamus_virginis,Amblyraja_georgiana,0
Boccardia_sp,Amblyraja_georgiana,0
Eucranta_sp,Amblyraja_georgiana,0
Harmothoe_sp,Amblyraja_georgiana,0
Hermadion_magalhaensi,Amblyraja_georgiana,0
Nephtys_sp,Amblyraja_georgiana,0
Polydora_sp,Amblyraja_georgiana,0
Polyeunoa_laevis,Amblyraja_georgiana,0
Spiophanes_sp,Amblyraja_georgiana,0
Euphausia_spp,Amblyraja_georgiana,0
Detritus,Ampharete_kerguelensis,0
Bacteria,Ampharete_kerguelensis,0
Foraminifera,Ampharete_kerguelensis,0
Diatoms_benthic,Ampharete_kerguelensis,0
Diatoms_centric,Ampharete_kerguelensis,0
Diatoms_pennate,Ampharete_kerguelensis,0
Trophon_ohlini,Anasterias_antarctica,0
Trophon_plicatus,Anasterias_antarctica,0
Halicarcinus_planatus,Anasterias_sp,0
Pagurus_comptus,Anasterias_sp,0
Pareuthria_spp,Anasterias_sp,0
Turbonilla_strebeli,Anasterias_sp,0
Harmothoe_sp,Anasterias_sp,0
Tonicia_lebruni,Anasterias_sp,0
Necromass,Andaniotes_linearis,0
Detritus,Anobothrus_sp,0
Detritus,Anthoptilum_grandiflorum,0
Cyrtostrombidium_sp,Anthoptilum_grandiflorum,0
Laboea_strobila,Anthoptilum_grandiflorum,0
Lohmanniella_sp,Anthoptilum_grandiflorum,0
Strobilidium_sp,Anthoptilum_grandiflorum,0
Strombidinopsis_sp,Anthoptilum_grandiflorum,0
Strombidium_spp,Anthoptilum_grandiflorum,0
Diatoms_benthic,Anthoptilum_grandiflorum,0
Dinoflagellates_heterosol,Anthoptilum_grandiflorum,0
Bacteria,Aplidium_spp,0
Emiliania_huxleyi,Aplidium_spp,0
Phaeocystis_antarctica,Aplidium_spp,0
Diatoms_benthic,Aplidium_spp,0
Diatoms_centric,Aplidium_spp,0
Diatoms_pennate,Aplidium_spp,0
Azadinium_sp,Aplidium_spp,0
Dinoflagellates_heterosol,Aplidium_spp,0
Gymnodinium_sp,Aplidium_spp,0
Detritus,Aplidium_spp,0
Detritus,Appendicularia_spp,0
Synechococcus_sp,Appendicularia_spp,0
Bacteria,Appendicularia_spp,0
Emiliania_huxleyi,Appendicularia_spp,0
Phaeocystis_antarctica,Appendicularia_spp,0
Gymnodinium_sp,Appendicularia_spp,0
Orbiniidae,Appendicularia_spp,0
Dinoflagellates_heterosol,Appendicularia_spp,0
Doryteuthis_gahi,Arctocephalus_australis,0
Enteroctopodidae,Arctocephalus_australis,0
Grimothea_gregaria,Arctocephalus_australis,0
Dissostichus_eleginoides,Arctocephalus_australis,0
Macrourus_carinatus,Arctocephalus_australis,0
Macrourus_holotrachys,Arctocephalus_australis,0
Macrourus_whitsoni,Arctocephalus_australis,0
Macruronus_novaezelandiae,Arctocephalus_australis,0
Muraenolepis_spp,Arctocephalus_australis,0
Notophycis_marginata,Arctocephalus_australis,0
Patagonotothen_cornucola,Arctocephalus_australis,0
Patagonotothen_elegans,Arctocephalus_australis,0
Patagonotothen_guntheri,Arctocephalus_australis,0
Patagonotothen_kreffti,Arctocephalus_australis,0
Patagonotothen_ramsayi,Arctocephalus_australis,0
Coelorinchus_fasciatus,Arctocephalus_australis,0
Coelorinchus_kayomaru,Arctocephalus_australis,0
Coelorinchus_marinii,Arctocephalus_australis,0
Genypterus_blacodes,Arctocephalus_australis,0
Guttigadus_kongi,Arctocephalus_australis,0
Salilota_australis,Arctocephalus_australis,0
Micromesistius_australis,Arctocephalus_australis,0
Sprattus_fuegensis,Arctocephalus_australis,0
Themisto_gaudichaudii,Ardenna_gravis,0
Doryteuthis_gahi,Ardenna_gravis,0
Dissostichus_eleginoides,Ardenna_gravis,0
Necromass,Ardenna_gravis,0
Euphausia_spp,Ardenna_gravis,0
Sprattus_fuegensis,Ardenna_gravis,0
Dissostichus_eleginoides,Ardenna_grisea,0
Necromass,Ardenna_grisea,0
Themisto_gaudichaudii,Ardenna_grisea,0
Doryteuthis_gahi,Ardenna_grisea,0
Euphausia_spp,Ardenna_grisea,0
Sprattus_fuegensis,Ardenna_grisea,0
Poecilosclerida,Aristias_antarcticus,0
Colossendeis_megalonyx,Asbestopluma_sp,0
Larvae_Nauplii,Asbestopluma_sp,0
Oithona_spp,Asbestopluma_sp,0
Bacteria,Ascidia_meridionalis,0
Emiliania_huxleyi,Ascidia_meridionalis,0
Phaeocystis_antarctica,Ascidia_meridionalis,0
Diatoms_benthic,Ascidia_meridionalis,0
Diatoms_centric,Ascidia_meridionalis,0
Diatoms_pennate,Ascidia_meridionalis,0
Azadinium_sp,Ascidia_meridionalis,0
Dinoflagellates_heterosol,Ascidia_meridionalis,0
Gymnodinium_sp,Ascidia_meridionalis,0
Detritus,Ascidia_meridionalis,0
Emiliania_huxleyi,Astarte_sp,0
Diatoms_benthic,Astarte_sp,0
Diatoms_centric,Astarte_sp,0
Diatoms_pennate,Astarte_sp,0
Alcyonium_antarcticum,Astrotoma_agassizii,0
Diatoms_benthic,Astrotoma_agassizii,0
Diatoms_centric,Astrotoma_agassizii,0
Diatoms_pennate,Astrotoma_agassizii,0
Foraminifera,Astrotoma_agassizii,0
Detritus,Astrotoma_agassizii,0
Euphausia_spp,Astrotoma_agassizii,0
Dictyocha_speculum,Astrotoma_agassizii,0
Puncturella_conica,Austrocidaris_canaliculata,0
Foraminifera,Austrocidaris_canaliculata,0
Haplosclerida,Austrodoris_sp,0
Detritus,Austrofilius_furcatus,0
Detritus,Austrofilius_sp,0
Detritus,Austronanus_dentatus,0
Themisto_gaudichaudii,Balaenoptera_acutorostrata,0
Calanus_spp,Balaenoptera_acutorostrata,0
Euphausia_spp,Balaenoptera_acutorostrata,0
Sprattus_fuegensis,Balaenoptera_acutorostrata,0
Clausocalanus_spp,Balaenoptera_acutorostrata,0
Ctenocalanus_vanus,Balaenoptera_acutorostrata,0
Drepanopus_forcipatus,Balaenoptera_acutorostrata,0
Neocalanus_tonsus,Balaenoptera_acutorostrata,0
Oithona_spp,Balaenoptera_acutorostrata,0
Rhincalanus_gigas,Balaenoptera_acutorostrata,0
Grimothea_gregaria,Balaenoptera_acutorostrata,0
Grimothea_spinosa,Balaenoptera_acutorostrata,0
Micromesistius_australis,Balaenoptera_acutorostrata,0
Themisto_gaudichaudii,Balaenoptera_bonaerensis,0
Euphausia_spp,Balaenoptera_bonaerensis,0
Sprattus_fuegensis,Balaenoptera_bonaerensis,0
