Species,vertextype,FunctionalGroup
Abyssianira_argentenensis,0,Isopoda
Abyssianira_dentifrons,0,Isopoda
Abyssianira_spp,0,Isopoda
Acanthoserolis_schythei,1,Isopoda
Acodontaster_elongatus,0,Echinodermata
Acodontaster_sp,1,Echinodermata
Actinauge_longicornis,0,Cnidaria_benthic
Actinostola_crassicornis,2,Cnidaria_benthic
Adelomelon_ancilla,2,Gastropoda
Advenogonium_fuegiae,0,Isopoda
Aega_semicarinata,0,Isopoda
Aglaophamus_virginis,0,Polychaeta
Agonopsis_chiloensis,0,Fish_BenPel
Alcyonium_antarcticum,2,Coral
Allorostrata_ovalis,1,Isopoda
Allorostrata_scutifrons,0,Isopoda
Amblyraja_doellojuradoi,2,Fish_Chond
Amblyraja_georgiana,2,Fish_Chond
Ampharete_kerguelensis,1,Polychaeta
Anasterias_antarctica,2,Echinodermata
Anasterias_sp,0,Echinodermata
Andaniotes_linearis,0,Amphipoda
Anobothrus_sp,1,Polychaeta
Antarcturidae,1,Isopoda
Anthoptilum_grandiflorum,2,Coral
Aplidium_spp,2,Ascidiacea
Appendicularia_spp,1,Zooplankton
Arctocephalus_australis,2,MarineMammals_2
Ardenna_gravis,0,SeaBirds
Ardenna_grisea,0,SeaBirds
Argeneuthria_varicosa,1,Gastropoda
Aristias_antarcticus,0,Amphipoda
Asbestopluma_sp,2,Porifera
Ascidia_meridionalis,0,Ascidiacea
Astarte_sp,0,Bivalvia
Astrotoma_agassizii,2,Echinodermata
Austrocidaris_canaliculata,1,Echinodermata
Austrocidaris_spinulosida,1,Echinodermata
Austrodoris_sp,1,Gastropoda
Austrofilius_furcatus,0,Isopoda
Austrofilius_sp,0,Isopoda
Austronanus_dentatus,0,Isopoda
Azadinium_sp,1,Dinoflagellates
Bacteria,1,Bacteria
Balaenoptera_acutorostrata,2,MarineMammals_1
Balaenoptera_bonaerensis,2,MarineMammals_1
Balaenoptera_borealis,2,MarineMammals_1
Balaenoptera_physalus,2,MarineMammals_1
Balticina_africana,2,Cnidaria_benthic
Bathybiaster_loripes,1,Echinodermata
Bathyraja_albomaculata,2,Fish_Chond
Bathyraja_brachyurops,1,Fish_Chond
Bathyraja_cousseauae,0,Fish_Chond
Bathyraja_griseocauda,2,Fish_Chond
Bathyraja_macloviana,2,Fish_Chond
Bathyraja_multispinis,1,Fish_Chond
Bathyraja_scaphiops,2,Fish_Chond
Boccardia_sp,1,Polychaeta
Bolocera_kerguelensis,2,Cnidaria_benthic
Brachiopoda_spp,2,Brachiopoda
Bryozoa,2,Bryozoa
Caecianiropsis_ectiformis,0,Isopoda
Calanus_spp,1,Zooplankton
Calcarea,2,Porifera
Calliostoma_spp,2,Gastropoda
Callochiton_puniceus,0,Polyplacophora
Campanularia_sp,2,Cnidaria_benthic
Campylaspis_spp,1,Cumacea
Campylonotus_vagans,1,Decapoda
Careproctus_sp,0,Fish_BenPel
Ceramaster_patagonicus,2,Echinodermata
Chaetopterus_antarcticus,0,Polychaeta
Cheiraster_(Luidiaster)_gerlachei,0,Echinodermata
Cirratulidae,1,Polychaeta
Cladodactyla_crocea,0,Echinodermata
Clathria_spp,2,Porifera
Clausocalanus_spp,1,Zooplankton
Clavularia_sp,2,Coral
Cnemidocarpa_spp,1,Ascidiacea
Coelorinchus_fasciatus,1,Fish_Demersal
Coelorinchus_kayomaru,0,Fish_Demersal
Coelorinchus_marinii,0,Fish_Demersal
Colossendeis_megalonyx,1,Benthos_Misc
Colpospirella_algida,2,Gastropoda
Convexella_magelhaenica,2,Coral
Copepodite,1,Zooplankton
Coperonus_comptus,0,Isopoda
Cosmasterias_lurida,2,Echinodermata
Cottoperca_trigloides,1,Fish_BenPel
Cottunculus_granulosus,0,Fish_Demersal
Cryosignum_sp,0,Isopoda
Ctenocalanus_vanus,1,Copepoda
Ctenodiscus_australis,0,Echinodermata
Cumella_argentinae,1,Cumacea
Cyclochlamys_argentina,1,Bivalvia
Cyrtostrombidium_sp,1,Ciliates
Cystodytes_antarcticus,0,Ascidiacea
Dactylanthus_antarcticus,0,Cnidaria_benthic
Daption_capense,0,SeaBirds
Desmosoma_sp,0,Isopoda
Detritus,1,Non-living
Diastylis_granulata,1,Cumacea
Diastylis_hammoniae,1,Cumacea
Diastylis_planifrons,1,Cumacea
Diatoms_benthic,1,Diatoms
Diatoms_centric,1,Diatoms
Diatoms_pennate,1,Diatoms
Dictyocha_speculum,1,Silicoflagellates
Didemnum_studeri,1,Ascidiacea
Dinoflagellates_heterosol,1,Dinoflagellates
Diomedea_sp,0,SeaBirds
Diplasterias_brucei,1,Echinodermata
Diplodontias_singularis,0,Echinodermata
Diplopteraster_clarki,0,Echinodermata
Dissostichus_eleginoides,2,Fish_BenPel
Doryteuthis_gahi,2,Cephalopoda
